,total_counts,area,time,D (um^2/s),alpha (1/s)
312,429.56750358628125,446001,9.0,0.0075,0.0042
313,429.56748066847837,445859,10.0,0.0075,0.0042
314,429.5676870748944,445640,11.0,0.0075,0.0042
315,429.56767901659657,445360,12.0,0.0075,0.0042
316,429.56755645077834,445012,13.0,0.0075,0.0042
317,429.5677288222694,444605,14.0,0.0075,0.0042
318,429.56764815553544,444144,15.0,0.0075,0.0042
319,429.56774349133957,443624,16.0,0.0075,0.0042
320,429.56766767837917,443059,17.0,0.0075,0.0042
321,429.5676868207141,442450,18.0,0.0075,0.0042
322,429.5675663739395,441796,19.0,0.0075,0.0042
323,429.56748384294684,441112,20.0,0.0075,0.0042
324,429.5676757674064,440393,21.0,0.0075,0.0042
325,429.56752195795013,439637,22.0,0.0075,0.0042
326,429.5676460501145,438852,23.0,0.0075,0.0042
327,429.5676542314488,438034,24.0,0.0075,0.0042
328,429.56752884204076,437186,25.0,0.0075,0.0042
329,429.5675349207939,436318,26.0,0.0075,0.0042
330,429.5676190044921,435429,27.0,0.0075,0.0042
331,429.567476574159,434516,28.0,0.0075,0.0042
332,429.5674810571858,433579,29.0,0.0075,0.0042
333,429.5674755623308,432619,30.0,0.0075,0.0042
334,429.56758151727513,431645,31.0,0.0075,0.0042
335,429.56754179131,430655,32.0,0.0075,0.0042
336,429.5676211764409,429646,33.0,0.0075,0.0042
337,429.56761676844667,428615,34.0,0.0075,0.0042
338,429.5676797946801,427573,35.0,0.0075,0.0042
339,429.5675833686107,426520,36.0,0.0075,0.0042
340,429.56750900257066,425452,37.0,0.0075,0.0042
341,429.56752651508066,424370,38.0,0.0075,0.0042
342,429.56757744271596,423280,39.0,0.0075,0.0042
343,429.56759732494044,422179,40.0,0.0075,0.0042
344,429.56762245964387,421064,41.0,0.0075,0.0042
345,429.5675268254985,419940,42.0,0.0075,0.0042
346,429.5675634171991,418815,43.0,0.0075,0.0042
347,429.5676695883732,417683,44.0,0.0075,0.0042
348,429.5674848456613,416532,45.0,0.0075,0.0042
349,429.56763352310384,415381,46.0,0.0075,0.0042
350,429.56759008674055,414225,47.0,0.0075,0.0042
351,429.5675458308776,413060,48.0,0.0075,0.0042
352,429.56763594237515,411896,49.0,0.0075,0.0042
353,429.56751053207984,410727,50.0,0.0075,0.0042
354,429.5676642707779,409547,51.0,0.0075,0.0042
355,429.56762545864945,408364,52.0,0.0075,0.0042
356,429.5676716924189,407183,53.0,0.0075,0.0042
357,429.56758339510634,405997,54.0,0.0075,0.0042
358,429.5675453047251,404811,55.0,0.0075,0.0042
359,429.5674727406606,403619,56.0,0.0075,0.0042
360,429.5676787632218,402424,57.0,0.0075,0.0042
361,429.5676354071463,401226,58.0,0.0075,0.0042
362,429.567539392114,400032,59.0,0.0075,0.0042
363,429.5676237370055,398838,60.0,0.0075,0.0042
364,429.567472189651,397639,61.0,0.0075,0.0042
365,429.56752753130496,396440,62.0,0.0075,0.0042
366,429.5675235913668,395239,63.0,0.0075,0.0042
367,429.5675185446536,394038,64.0,0.0075,0.0042
368,429.5675968063854,392843,65.0,0.0075,0.0042
369,429.56748351238076,391648,66.0,0.0075,0.0042
370,429.56756953388987,390447,67.0,0.0075,0.0042
371,429.56749273498434,389249,68.0,0.0075,0.0042
372,429.5675052675429,388051,69.0,0.0075,0.0042
373,429.5676411471633,386856,70.0,0.0075,0.0042
374,429.56751474670443,385666,71.0,0.0075,0.0042
375,429.5675867308755,384473,72.0,0.0075,0.0042
376,429.56755168004656,383273,73.0,0.0075,0.0042
377,429.56757526183384,382076,74.0,0.0075,0.0042
378,429.5675051454182,380877,75.0,0.0075,0.0042
379,429.5675049694327,379681,76.0,0.0075,0.0042
380,429.5676721280822,378490,77.0,0.0075,0.0042
381,429.567562730407,377298,78.0,0.0075,0.0042
382,429.56760600833053,376112,79.0,0.0075,0.0042
383,429.56750794639584,374931,80.0,0.0075,0.0042
384,429.5676724432616,373754,81.0,0.0075,0.0042
385,429.56759698716553,372576,82.0,0.0075,0.0042
386,429.5675193582129,371392,83.0,0.0075,0.0042
387,429.5675059057877,370209,84.0,0.0075,0.0042
388,429.5675114684561,369032,85.0,0.0075,0.0042
389,429.5675312672896,367860,86.0,0.0075,0.0042
390,429.5675574013392,366691,87.0,0.0075,0.0042
391,429.5676258641859,365530,88.0,0.0075,0.0042
392,429.56757433184185,364375,89.0,0.0075,0.0042
393,429.56765151458376,363226,90.0,0.0075,0.0042
394,429.5675585081727,362086,91.0,0.0075,0.0042
395,429.5674773137769,360944,92.0,0.0075,0.0042
396,429.567574757645,359792,93.0,0.0075,0.0042
397,429.5676653370695,358646,94.0,0.0075,0.0042
398,429.56767017436937,357504,95.0,0.0075,0.0042
399,429.5676079971322,356366,96.0,0.0075,0.0042
400,429.56763918881927,355236,97.0,0.0075,0.0042
401,429.5674879345995,354111,98.0,0.0075,0.0042
402,429.56767329966584,352994,99.0,0.0075,0.0042
403,429.5676501300245,351885,100.0,0.0075,0.0042
404,429.9974370979726,443016,0.0,0.008,0.0042
405,429.5675523692291,443459,1.0,0.008,0.0042
406,429.56761016604963,444583,2.0,0.008,0.0042
407,429.56764335651724,445538,3.0,0.008,0.0042
408,429.56749756444987,446315,4.0,0.008,0.0042
409,429.56759059116354,446931,5.0,0.008,0.0042
410,429.56772431892796,447415,6.0,0.008,0.0042
411,429.56767243702285,447758,7.0,0.008,0.0042
412,429.5676033711513,447975,8.0,0.008,0.0042
413,429.5675237549666,448092,9.0,0.008,0.0042
414,429.5675411136299,448123,10.0,0.008,0.0042
415,429.56753737085387,448081,11.0,0.008,0.0042
416,429.56764481609065,447958,12.0,0.008,0.0042
417,429.5677170929103,447763,13.0,0.008,0.0042
418,429.56744192946337,447503,14.0,0.008,0.0042
419,429.5674927754675,447172,15.0,0.008,0.0042
420,429.56765494501064,446796,16.0,0.008,0.0042
421,429.56749603424134,446362,17.0,0.008,0.0042
422,429.56759699236073,445878,18.0,0.008,0.0042
423,429.5675772156699,445353,19.0,0.008,0.0042
424,429.5675292282273,444781,20.0,0.008,0.0042
425,429.56758435042065,444173,21.0,0.008,0.0042
426,429.5676852858882,443527,22.0,0.008,0.0042
427,429.56759463633983,442844,23.0,0.008,0.0042
428,429.5674785657684,442135,24.0,0.008,0.0042
429,429.5674677553563,441398,25.0,0.008,0.0042
430,429.5674852434534,440633,26.0,0.008,0.0042
431,429.56760034729695,439840,27.0,0.008,0.0042
432,429.56745975009983,439018,28.0,0.008,0.0042
433,429.56763092430043,438174,29.0,0.008,0.0042
434,429.56764165268737,437303,30.0,0.008,0.0042
435,429.5676000523803,436411,31.0,0.008,0.0042
436,429.5676542603875,435501,32.0,0.008,0.0042
437,429.56751293759214,434571,33.0,0.008,0.0042
438,429.5674780959585,433623,34.0,0.008,0.0042
439,429.56756315437764,432655,35.0,0.008,0.0042
440,429.56762169070174,431673,36.0,0.008,0.0042
441,429.56755709854417,430679,37.0,0.008,0.0042
442,429.5676525792666,429672,38.0,0.008,0.0042
443,429.5676086900078,428647,39.0,0.008,0.0042
444,429.56753536522587,427609,40.0,0.008,0.0042
445,429.56749260137207,426564,41.0,0.008,0.0042
446,429.5674897586106,425510,42.0,0.008,0.0042
447,429.5675580432875,424444,43.0,0.008,0.0042
448,429.56754220829504,423366,44.0,0.008,0.0042
449,429.56756165504163,422283,45.0,0.008,0.0042
450,429.5676340568564,421193,46.0,0.008,0.0042
451,429.5676079146115,420092,47.0,0.008,0.0042
452,429.56749621541496,418987,48.0,0.008,0.0042
453,429.5675829879808,417878,49.0,0.008,0.0042
454,429.56760158097086,416760,50.0,0.008,0.0042
455,429.56759609988535,415634,51.0,0.008,0.0042
456,429.5676112663097,414508,52.0,0.008,0.0042
457,429.56752379409124,413380,53.0,0.008,0.0042
458,429.5676443164074,412244,54.0,0.008,0.0042
459,429.56750688548465,411102,55.0,0.008,0.0042
460,429.567528342423,409961,56.0,0.008,0.0042
461,429.56761370896317,408817,57.0,0.008,0.0042
462,429.5675279416501,407669,58.0,0.008,0.0042
463,429.5675396705031,406522,59.0,0.008,0.0042
464,429.56744650210584,405370,60.0,0.008,0.0042
465,429.5674449440393,404214,61.0,0.008,0.0042
466,429.5675840563301,403061,62.0,0.008,0.0042
467,429.5675115079343,401909,63.0,0.008,0.0042
468,429.5674671764361,400752,64.0,0.008,0.0042
469,429.56758478261696,399589,65.0,0.008,0.0042
470,429.5676058224022,398426,66.0,0.008,0.0042
471,429.56760937476827,397260,67.0,0.008,0.0042
472,429.56763894393225,396093,68.0,0.008,0.0042
473,429.56749956462295,394928,69.0,0.008,0.0042
474,429.56754329432675,393764,70.0,0.008,0.0042
475,429.56762698969413,392600,71.0,0.008,0.0042
476,429.5675091996777,391440,72.0,0.008,0.0042
477,429.5675757147396,390284,73.0,0.008,0.0042
478,429.567597154379,389124,74.0,0.008,0.0042
479,429.5675705716756,387958,75.0,0.008,0.0042
480,429.5675322615647,386794,76.0,0.008,0.0042
481,429.5675280952585,385630,77.0,0.008,0.0042
482,429.5675827926046,384471,78.0,0.008,0.0042
483,429.5675321308611,383316,79.0,0.008,0.0042
484,429.5674779292216,382163,80.0,0.008,0.0042
485,429.56755801037275,381017,81.0,0.008,0.0042
486,429.56746867746836,379877,82.0,0.008,0.0042
487,429.56747292078654,378742,83.0,0.008,0.0042
488,429.5674603181798,377607,84.0,0.008,0.0042
489,429.5674423718181,376462,85.0,0.008,0.0042
490,429.56748902686377,375319,86.0,0.008,0.0042
491,429.5675778089002,374180,87.0,0.008,0.0042
492,429.5675230332446,373046,88.0,0.008,0.0042
493,429.5674897104591,371916,89.0,0.008,0.0042
494,429.56745089168214,370791,90.0,0.008,0.0042
495,429.5674948390022,369674,91.0,0.008,0.0042
496,429.56750537246336,368563,92.0,0.008,0.0042
497,429.5674526364516,367458,93.0,0.008,0.0042
498,429.5674462739059,366355,94.0,0.008,0.0042
499,429.56745240973356,365242,95.0,0.008,0.0042
500,429.5675042956184,364132,96.0,0.008,0.0042
501,429.567588394691,363028,97.0,0.008,0.0042
502,429.5674511395489,361928,98.0,0.008,0.0042
503,429.56746746867765,360833,99.0,0.008,0.0042
504,429.5674881608994,359745,100.0,0.008,0.0042
505,429.99777629540307,443016,0.0,0.0025,0.0042
506,429.56803759858616,440047,1.0,0.0025,0.0042
507,429.56779757915865,437922,2.0,0.0025,0.0042
508,429.5682505473156,435800,3.0,0.0025,0.0042
509,429.5680112123599,433671,4.0,0.0025,0.0042
510,429.5681302675548,431531,5.0,0.0025,0.0042
511,429.5681328758069,429403,6.0,0.0025,0.0042
512,429.56804705954625,427289,7.0,0.0025,0.0042
513,429.5677878426971,425167,8.0,0.0025,0.0042
514,429.56811385659984,423046,9.0,0.0025,0.0042
515,429.56784739651283,420915,10.0,0.0025,0.0042
516,429.5681441659822,418796,11.0,0.0025,0.0042
